大項目,中項目,詳細タスク,手順内容,成果物 / 決めること,アプリ開発に必要な情報,進め方,備考
5.ギフト設計,送り主体験,気持ちを乗せる要素整理,メッセージ テーマ おすすめ体験添付の要素を整理する,ギフト演出案,メッセージ機能とテーマ設定,要素整理→感情価値整理→UI化,入力負荷を増やしすぎない
6.カード設計,カード仕様,カード役割定義,カードが担う役割を定義する,カード役割定義,カード情報構造,役割整理→利用シーン整理,ギフト 利用 記念 コレクションを分けて考える
6.カード設計,カード仕様,利用方式整理,QR コード入力 デジタルカードのどれで運用するか決める,利用方式方針,認証方式と利用処理,方式比較→採用方式決定,初期はデジタルカード＋QRが現実的
6.カード設計,カード仕様,残高と利用履歴設計,残高 有効期限 利用履歴の扱いを整理する,カード利用仕様,残高表示と履歴機能,項目整理→仕様整理→データ定義,チャージをやるかは早めに切り分ける
7.旅ログ設計,ログ設計,ログ種類洗い出し,訪問地 食事 体験 宿泊 写真 スタンプ 特産品を整理する,ログ項目一覧,DB項目定義,ログ候補整理→必須ログ決定,初期は訪問 体験 写真くらいまで絞る
7.旅ログ設計,ログ設計,記録タイミング整理,どのタイミングでログが発生するかを整理する,ログ発火条件,イベント設計と自動記録条件,タイミング整理→条件整理,旅中の邪魔にならない記録が重要
7.旅ログ設計,ログ設計,記録方法整理,QR GPS 写真 手入力の採用方式を決める,記録方法方針,位置情報 カメラ QR要件,方式比較→採用方式決定→UX確認,MVPはQRか手動選択が実装しやすい
7.旅ログ設計,ログ設計,残したくなるログ設計,感情や思い出が残るログの形を整理する,ログ価値定義,入力UIと自動生成文言,価値整理→要素整理→UI検討,ただのチェックインで終わらせない
7.旅ログ設計,ログ設計,ログID設計,地域や体験を識別できるIDルールを決める,ID設計,検索 共有 管理番号,IDルール整理→DB定義,共有URLや検索にも使える形にする
8.アルバム設計,旅アルバム,アルバム構造設計,タイムライン マップ 写真集のどの見せ方にするか整理する,アルバム構造,アルバム画面設計,形式整理→表示構造整理,MVPは時系列中心が分かりやすい
8.アルバム設計,旅アルバム,自動生成ルール設計,どのデータからどうアルバムを作るか整理する,生成ルール,自動生成ロジック,データ条件整理→生成ルール作成,写真不足時の見せ方も決める
8.アルバム設計,共有,共有先整理,自分 送り主 家族 SNSの共有先を整理する,共有先一覧,権限と共有設定,共有対象整理→権限整理,送り主への共有は旅録らしい強みになる
8.アルバム設計,共有,シェア形式設計,画像 動画 テキスト URLのどれで共有するか整理する,シェア形式一覧,画像生成 文言生成 URL共有,形式整理→投稿内容整理→仕様化,初期は画像＋URLで十分
9.コンテンツ設計,魅力づくり,旅テーマ設計,温泉 自然 食 親子 癒しなどの旅テーマを整理する,テーマ一覧,テーマ選択とおすすめ表示,テーマ候補整理→優先テーマ決定,テーマが提案体験の軸になる
9.コンテンツ設計,魅力づくり,スタンプ設計,スタンプ取得ルールを整理する,スタンプ仕様,スタンプ表示と取得判定,仕様整理→取得条件整理,やるなら旅ログの補助要素に留める
9.コンテンツ設計,魅力づくり,レア要素設計,限定カードや期間限定企画を整理する,レア要素一覧,限定表示と在庫管理,企画整理→希少性設計,初期は手を広げすぎない
10.アプリ要件定義,機能要件,最小機能 MVP整理,最初に作る機能を決める,MVP一覧,初期開発範囲,機能洗い出し→優先順位付け→範囲決定,ここで欲張ると進まない
10.アプリ要件定義,機能要件,必須画面洗い出し,トップ カード 旅ログ アルバム 共有 マイページを整理する,画面一覧,画面仕様書の前提,必要画面洗い出し→主要画面決定,送り主画面と旅行者画面を分けて考える
10.アプリ要件定義,機能要件,ユーザー権限設計,送り主 旅行者 管理者 加盟店の権限を整理する,権限一覧,画面出し分けと認証設計,権限整理→パターン化→認証設計,管理画面は別プロダクト扱いでもよい
10.アプリ要件定義,機能要件,データ項目整理,地域 施設 体験 ログ カード ユーザーのデータを整理する,データ定義,DB設計,項目整理→構造設計→DB設計,MVPデータと将来データを分ける
10.アプリ要件定義,技術要件,外部連携整理,決済 地図 SNS共有 QR GPSなど必要な連携を整理する,外部連携一覧,API選定,候補整理→技術確認→採用決定,初期は少ない外部連携で始める
10.アプリ要件定義,技術要件,管理画面要件整理,運営 自治体 事業者が何を管理したいか整理する,管理画面要件,管理機能の範囲,管理者業務整理→必要機能整理,ユーザー向けアプリと優先度を分ける
10.アプリ要件定義,技術要件,非機能要件整理,ログイン セキュリティ 位置情報許諾 操作性を整理する,非機能要件,インフラと設計方針,要件整理→セキュリティ確認→インフラ方針化,位置情報や個人情報の扱いは早めに決める
11.UI/UX,画面設計,ワイヤーフレーム作成,主要画面のラフを作る,画面ラフ,画面仕様書,主要画面ラフ作成→UX確認,MVP画面から先に描く
11.UI/UX,画面設計,画面遷移設計,各画面の移動を整理する,画面遷移図,フロント実装指示,画面遷移整理→フロー図作成,送り主導線と旅行者導線を接続して確認
11.UI/UX,表現設計,トーン&マナー設計,旅録の世界観を整理する,世界観定義,UIデザイン方針,ブランド方向整理→トーン整理→指針化,あたたかい 上質 旅情を軸にするとぶれにくい
12.営業準備,営業設計,提案先別訴求整理,自治体 事業者 旅行者ごとの訴求を整理する,訴求整理表,LP 営業資料 画面コピー,訴求整理→メッセージ化,相手ごとに同じ資料を使わない
12.営業準備,営業設計,導入資料作成,自治体と事業者向けの提案資料を作る,営業資料,営業資料,提案内容整理→資料化→営業準備,導入メリットを数字と体験の両方で見せる
12.営業準備,営業設計,パイロット提案設計,最初の地域への実証提案内容を整理する,実証提案書,実証導入条件,提案内容整理→条件整理→提案書化,期間 参加事業者 提供体験を具体化する
13.実証準備,テスト運用,地域テスト設計,1地域での実証運用フローを作る,テスト計画,実証時に必要な最低機能,運用フロー整理→実施計画化,MVP検証に必要な最小構成で回す
13.実証準備,テスト運用,評価項目整理,何を検証するか決める,評価指標,分析基盤要件,検証指標整理→評価方法整理→KPI設定,使いやすさ 回遊 ログ残存率を優先
13.実証準備,テスト運用,改善サイクル設計,実証後にどう改善するかを整理する,改善フロー,ログ分析と管理画面要件,改善ポイント整理→収集方法整理→改善計画化,アンケートと利用ログの両方を見る
14.マーケティング,集客設計,SNS施策設計,SNSで何をどう発信するか整理する,SNS運用方針,シェア機能 投稿素材生成,運用方針整理→投稿テーマ整理,機能実装と運用テーマを分けて考える
14.マーケティング,集客設計,ギフトストーリー施策設計,旅を贈る瞬間の話題化方法を整理する,企画案,ギフト表示とシェア導線,ストーリー整理→投稿ネタ整理,受け取り瞬間の映えを意識する
14.マーケティング,集客設計,地域プロモーション設計,地域限定企画や回遊イベントを整理する,地域プロモーション案,イベント表示と限定企画管理,企画整理→実施計画化,アプリ内表示要件と営業施策をつなぐ
15.運用設計,運営,運営フロー整理,問い合わせ 加盟店登録 旅ログ管理 不具合対応を整理する,運営フロー,CS管理と管理画面要件,運営業務整理→フロー作成,誰がどこで対応するか明確化する
15.運用設計,運営,加盟店運用設計,加盟店の登録 更新 停止 利用確認の流れを整理する,加盟店運用ルール,加盟店管理機能,管理方法整理→手順化→ルール化,運用負荷が高いと加盟店が増えない
15.運用設計,運営,データ活用設計,どのデータを誰にどう返すか整理する,データ活用方針,レポート出力とダッシュボード,活用整理→レポート内容整理→ダッシュボード設計,自治体向けと運営向けで分けて考える
